"Código do Lote","Código da Edificação","Cadastro IPTU","Nome","Descrição","Endereço","Lei-Decreto","Data do Documento","Esfera","COMPHIC","Intimação","Características","Situação","Observações"
"02.0011.0065.0505","02.0011.0065.0505.001.001","5750900",Imóvel, - ,"Rua Siva Jardim, 1699","DE nº 26/2024
(anterior provisório DE nº 170/2019)",24/01/2024,Municipal,Of. Nº 11/COMPHIC/2020,INTIMAÇÃO Nº 11/COMPHIC/2020,"Tomba-se a volumetria da edificação, ou seja, o conjunto das dimensões que determinam o volume da edificação composta por suas fachadas e cobertura, incluindo seu recuo de jardim, que, por meio da escadaria, marca o eixo central e direciona o pedestre ao acesso principal. A preservação deve acrescer ainda todos os elementos de ornamentação da fachada principal e sua extensão adjacente nas laterais. Também deverão ser mantidos os elementos construídos no recuo de jardim, constituídos pelos patamares, escada, portão e muros composto por balaustrada.",Tombamento Definitivo, - 
"02.0011.0023.0469","02.0011.0023.0469.001.001","5483100",Imóvel, - ,"Av. Rio Branco, 142","DE nº 7/2024
(anterior provisório DE nº 189/2019)",17/01/2024,Municipal,Of. nº 12/COMPHIC/2020,INTIMAÇÃO Nº 12/COMPHIC/2020,"Tomba-se sua originalidade volumétrica e estilística, mantendo forma, esquadrias e materiais de acabamento e da cobertura, sem qualquer supressão ou acréscimo de volume, elemento ou equipamento que afete essa feição original perceptível a partir do logradouro público.",Tombamento Definitivo, - 
"02.0011.0023.0460","02.0011.0023.0460.001.001","5483000",Imóvel, - ,"Av. Rio Branco, 152",DE nº 190/2019,18/12/2019,Municipal,Of. nº 13/COMPHIC/2020,INTIMAÇÃO Nº 13/COMPHIC/2020,"Tomba-se sua originalidade volumétrica e estilística, mantendo forma, esquadrias e materiais de acabamento e da cobertura, sem qualquer supressão ou acréscimo de volume, elemento ou equipamento que afete essa feição original perceptível a partir do logradouro público, bem como a manutenção do recuo lateral necessário para a contemplação da edificação.",Tombamento Provisório, - 
"02.0011.0023.0450","02.0011.0023.0450.001.001","5482600",Imóvel, - ,"Av. Rio Branco, 154-166","DE nº 11/2024
(anterior provisório DE nº 191/2019)",22/01/2024,Municipal,Of. nº 32/COMPHIC/2020,INTIMAÇÃO Nº 31/COMPHIC/2020,"Tomba-se sua volumetria, mantendo forma, vãos das aberturas e materiais de acabamento e da cobertura, sem qualquer supressão ou acréscimo de volume, elemento ou equipamento que afete essa feição.",Tombamento Definitivo, - 
"03.0011.0013.0207", - ,"125600",Imóvel, - ,"Rua Riachuelo, 364","DE nº 37/2024
(anterior/provisório DE nº 188/2020)",25/01/2024,Municipal,Of. nº 166/COMPHIC/2020,INTIMAÇÃO Nº 146/COMPHIC/2020,"Tomba-se a volumetria da edificação. Avalia-se necessário manter a ornamentação característica, vãos, esquadrias e coberturas, assim como recuos frontais, laterais e muros.",Tombamento Definitivo, - 
"02.0011.0022.0060","02.0011.0022.0060.001.001","5464400",Imóvel, - ,"Av. Rio Branco, 167",DE nº 192/2019,18/12/2019,Municipal,Of. nº 14/COMPHIC/2020,INTIMAÇÃO Nº 14/COMPHIC/2020,"Tomba-se a fachada principal, composta pelo pavimento superior, platibanda e térreo. As formas que compõem a edificação, a ornamentação da fachada principal e as esquadrias em madeira são características relevantes que devem ser resguardadas para preservar a edificação. Além disso, avalia-se necessário manter a volumetria do telhado, pois sua escala compõe, junto com os outros prédios desta testada do quarteirão, um conjunto de grande valor para a paisagem urbana de Santa Maria",Tombamento Provisório, - 
"04.0013.0008.0513", - ,"2720200",Gleba e remanescentes da Sotéia, - ,"Rua Venâncio Aires, nº 669",DE nº 131/2023,30/12/2023,Municipal, - , - , - ,Tombamento Provisório, - 
"02.0011.0024.0310","02.0011.0024.0310.001.001","5485700",Vila Belga - casa geminada, - ,"Rua Wauthier, 14",Portaria Estadual n° 30/2000 (E) LM n° 2983/1988 e DE n° 161/1997 (M), - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"02.0011.0024.0303","02.0011.0024.0303.001.001","5485600",Vila Belga - casa geminada, - ,"Rua Wauthier, 18",Portaria Estadual n° 30/2000 (E) LM n° 2983/1988 e DE n° 161/1997 (M), - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"02.0011.0024.0296","02.0011.0024.0296.001.001","5485500",Vila Belga - casa geminada, - ,"Rua Wauthier, 28",Portaria Estadual n° 30/2000 (E) LM n° 2983/1988 e DE n° 161/1997 (M), - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"02.0011.0024.0289","02.0011.0024.0289.001.001","5485400",Vila Belga - casa geminada, - ,"Rua Wauthier, 32",Portaria Estadual n° 30/2000 (E) LM n° 2983/1988 e DE n° 161/1997 (M), - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"02.0021.0027.0541", - ,"6277400",Residência Weissheimer,Residência Weissheimer,"Rua Sete de Setembro, 390","DE nº 107/2022
(anterior provisório DE nº 169/2019)",23/09/2022,Municipal,Of. Nº 10/COMPHIC/2020,INTIMAÇÃO Nº 10/COMPHIC/2020,"Tomba-se a edificação na sua totalidade (externamente). As formas que compõem a edificação, a ornamentação das fachadas, as esquadrias em madeira e vitral, são elementos relevantes que devem ser mantidos para preservar a característica da edificação. Além disso, avalia-se necessário manter a volumetria e materialidade do telhado, assim como seus recuos frontais e laterais. O restante do lote, ao fundo, pode receber acréscimos, contanto que não interfira na percepção a partir do logradouro.",Tombamento Definitivo, - 
"02.0011.0023.0440","02.0011.0023.0440.001.001","5482500",Edifício da antiga sede do jornal Correio do Povo,Edifício da antiga sede do jornal Correio do Povo.,"Av. Rio Branco, 174","DE nº 99/2022 
(anterior provisório DE nº 193/2019",23/09/2022,Municipal,Of. nº 29/COMPHIC/2020,INTIMAÇÃO Nº 28/COMPHIC/2020,"Tomba-se sua originalidade volumétrica e estilística, mantendo forma, vãos das aberturas e materiais de acabamento e da cobertura, sem qualquer supressão ou acréscimo de volume, elemento ou equipamento que afete essa feição original.",Tombamento Definitivo, - 
"01.0011.0044.0738","01.0011.0044.0738.001.001","4381900, 4381800, 4382000",Imóvel, - ,"Av. Rio Branco, 862 - 868",DE n° 194/2019,18/12/2019,Municipal,Of. nº 15/COMPHIC/2020,INTIMAÇÃO Nº 15/COMPHIC/2020,"Tomba-se a fachada principal composta pelo pavimento superior, platibanda e térreo, além das formas que compõem a edificação, incluindo as sacadas, a ornamentação da fachada principal, esquadrias remanescentes em madeira e vãos. Além disso, o tombamento deve acrescer a volumetria do imóvel e o telhado, pois sua escala compõe, junto com os outros prédios desta testada do quarteirão, um conjunto de grande valor para a paisagem urbana de Santa Maria",Tombamento Provisório, - 
"03.0011.0012.0500","03.0011.0012.0500","121800",Imóvel, - ,"Rua Tuiuti, 2067","DE n° 102/2022
(anterior provisório DE nº 01/2020)",23/09/2022,Municipal,Of. Nº 54/COMPHIC/2020,INTIMAÇÃO Nº 46/COMPHIC/2020,"Tomba-se, portanto, a fachada principal da edificação. A preservação deve acrescer, ainda, todos os elementos remanescentes de ornamentação da fachada frontal e as esquadrias em madeira, as quais são elementos relevantes que devem ser mantidos para preservar a característica da edificação. O restante do lote, ao fundo, pode receber acréscimos.",Tombamento Definitivo, - 
"02.0011.0023.0355","02.0011.0023.0355.001.001","5479800",Vila Belga - casa geminada, - ,"Rua Ernesto Beck, 1992",Portaria Estadual n° 30/2000 (E) LM n° 2983/1988 e DE n° 161/1997 (M), - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"01.0011.0023.0370","01.0011.0023.0370.001.001","4293400",Imóvel, - ,"Av. Rio Branco, 596-600","DE n° 34/2024
(anterior provisório DE nº 157/2019)",25/01/2024,Municipal,Of. nº 24/COMPHIC/2020,INTIMAÇÃO Nº 23/COMPHIC/2020,"Tomba-se a fachada nos pavimentos superiores, platibanda e térreo, sugerindo-se a recomposição de vãos neste último. A ornamentação da fachada principal, as esquadrias em madeira e as superfícies com tijolo maciço sem reboco no pavimento superior e sua estilização rusticada no térreo, são características relevantes que devem ser mantidas para preservar a característica da edificação. Além disto, tomba-se a volumetria do telhado, pois sua escala compõe, junto com os outros prédios desta testada do quarteirão, um conjunto de grande valor para a paisagem urbana de Santa Maria.",Tombamento Definitivo, - 
"02.0011.0067.0101", - ,"5777500 (DE E GEO), 5777700, 5777800, 5777600",Imóvel, - ,"Av. Rio Branco, 873 - 875 - 877",DE nº 179/2020,"05/08/2020",Municipal,Of. nº 153/COMPHIC/2020,INTIMAÇÃO Nº 133/COMPHIC/2020,"Tombamento preservando na integralidade, a originalidade volumétrica, ou seja, o volume da edificação composto por sua fachada frontal, fachadas laterais e cobertura. A preservação deve acrescer ainda todos os elementos remanescentes de ornamentação, vãos e esquadrias dos pavimentos superiores, na frontal.",Tombamento Provisório, - 
"02.0011.0067.0087", - ,"5777200, 5777300, 5777400",Imóvel, - ,"Av. Rio Branco, 863",DE nº 191/2020,10/08/2020,Municipal,Of. nº 168/COMPHIC/2020,INTIMAÇÃO Nº 148/COMPHIC/2020,"Tombamento preservando, na integralidade, a originalidade volumétrica e a fachada frontal, lateral e cobertura. A preservação deve acrescer, ainda, todos os elementos remanescentes de ornamentação e vãos do pavimento superior. ",Tombamento Provisório, - 
"02.0011.0067.0025","02.0011.0067.0025.001.001","5776100, 9741500",Imóvel, - ,"Av. Rio Branco, 809","DE nº 18/2024
(anterior provisório DE nº 159/2019)",24/01/2024,Municipal,Of. nº 04/COMPHIC/2020,INTIMAÇÃO Nº 04/COMPHIC/2020,"Tomba-se a volumetria da edificação, ou seja, o conjunto das dimensões que determinam o volume da edificação composta por suas fachadas, ornamentações vãos e cobertura, mesmo tratando-se de uma edificação em que apenas a fachada foi preservada.",Tombamento Definitivo, - 
"03.0011.0025.0289", - ,"530221470173429",Bens móveis e imóveis do Colégio Metodista Centenário,Bens móveis e imóveis do Colégio Metodista Centenário,"Rua Dr. Turi, 2003",DE n° 115/2016,16/12/2016,Municipal, - , - , - ,Tombamento Definitivo, - 
"04.0011.0024.0168","04.0011.0024.0168.001.001","2152100",Instituto de Educação Olavo Bilac- Salão festas- prédio central,Instituto Estadual Educação Olavo Bilac,"Rua Conde de Porto Alegre, 655",Portaria Estadual n°20/2013 (E) - DE n° 344/2006 (M),19/03/2013 (E) - 22/11/2006 (M),Estadual/Municipal, - , - ,"Pavilhão principal e de educação física (E), Prédio Central e Salão de Festas Edna May Cardoso (M)","Tombamento Definitivo (E), Tombamento Definitivo (M)", - 
"02.0011.0043.0092", - ,"11336100",Imóvel, - ,"Av. Rio Branco, 453 - 455",DE nº 122/2022  (anterior provisório DE nº 173/2020),"04/10/2022",Municipal,Of. nº 142/COMPHIC/2020,INTIMAÇÃO Nº 122/COMPHIC/2020,"Tombamento das fachadas frontal e lateral compostas pelos pavimentos superiores, platibanda e térreo. As formas que compõem a edificação, dentre elas as sacadas e os cobogós, a platibanda e o coroamento com plano suspenso que contorna a edificação e as esquadrias em madeira, são características relevantes que devem ser preservadas para resguardar a identidade arquitetônica do bem. Além disso, avalia-se necessário manter a volumetria da edificação, respeitando a sua altura.",Tombamento Definitivo, - 
"02.0011.0063.0604","02.0011.0063.0604.001.001","5728100",Museu Treze de Maio - Prédio Clube Treze de Maio,Museu Treze de Maio (Antiga Sociedade Cultural Ferroviária Treze de Maio),"Rua Silva Jardim, 1407",Lei Nº 12.183 (F) LM n° 4809 (PH - M) DE n° 114 (TP - M) LE 12183-2004 (E),21/12/2024 (F) 28/12/2024 (PH) -13/05/2004 (TP),Estadual/Municipal, - , - , - ,Patrimônio Histórico e Cultural (E e M 12/2004) - Tombamento Provisório (05/2004), - 
"02.0011.0031.0091","02.0011.0031.0091.001.001","53021470145293",Casa de Manoel Ribas,"Imóvel localizado na Avenida Rio Branco, nº 303 (Residência Manoel Ribas)","Av. Rio Branco, 303",DE n° 133/2008,24/11/2008,Municipal, - , - , - ,Tombamento Provisório, - 
"04.0011.0020.0026","04.0011.0020.0026.001.001","2100800",Ex-Banco Nacional do Comércio - Atual Caixa Econômica Federal,Ex-Banco Nacional do Comércio,"Rua do Acampamento, 45",LM n° 1952/1978,15/02/1978,Municipal, - , - , - ,Patrimônio Histórico, - 
"01.0011.0044.0654","01.0011.0044.0654.001.001",4379700 (Edifício 5428200),Antiga Sociedade União dos Caixeiros Viajantes (SUCV) - Museu da União dos Caixeiros Viajantes: acervo (Classificação: coleções e acervos),Museu da União dos Caixeiros Viajantes: acervo (Classificação: coleções e acervos),"Rua Venâncio Aires, 1934","Lei nº 11.483/2007 Portaria/IPHAN nº 407/2010 Inscrição Livro do Tombo Belas Artes
Nº inscr.: 006 ;Vol. 1 ;F. 002 (F) LM n° 3661/1993 e LM n° 3724/1993 (M)",25/03/1938 - 25/06/1993 14/12/1993 - 19/05/2014,Federal/Municipal, - , - ,"Dispõe sobre o estabelecimento dos parâmetros de valoração e procedimento de inscrição na Lista do Patrimônio Cultural
Ferroviário, visando à proteção da memória ferroviária, em conformidade com o art. 9º da Lei n.º 11.483/2007. Ver Esfera",Tombamento Definitivo, - 
"03.0023.0900.0493","03.0023.0900.0493.003.001", - ,Capelinha Azul,Capelinha Azul,Próximo Alameda Sibipiruna,LM n° 4433/2001,25/06/2001,Municipal, - , - , - ,Patrimônio Histórico e Cultural, - 
"04.0011.0027.0905","04.0011.0027.0905.001.001","2211800",Imóvel, - ,"Rua Coronel Niederauer, 1595",DE n° 195/2019,18/12/2019,Municipal,Of. nº 16/COMPHIC/2020,INTIMAÇÃO Nº 16/COMPHIC/2020,"Quanto à preservação, tomba-se, portanto, a volumetria da edificação composta por sua fachada principal e cobertura. A preservação deve acrescer, ainda, todos os elementos remanescentes de ornamentação da fachada frontal e as esquadrias em madeira, as quais são elementos relevantes que devem ser mantidos para preservar a característica da edificação. O restante do lote, ao fundo, pode receber acréscimos, contanto que não interfira na percepção a partir do logradouro.",Tombamento Provisório, - 
"04.0011.0020.0048","04.0011.0020.0048.001.001","2100900",Club Caixeral Santamariense,Club Caixeiral Santamariense,"Rua do Acampamento, 39",DE n° 196/2019,18/12/2019,Municipal,Of. nº 17/COMPHIC/2020,INTIMAÇÃO Nº 17/COMPHIC/2020,"Salvaguarda do volume original e elementos estilísticos da imponente e criativa fachada eclética principal, na totalidade da modenatura compositiva – vãos e elementos arquitetônicos presentes, bem como das esquadrias. Há diversos elementos internos com valor (escada principal, vitrais, revestimentos e adornos), portanto, eventuais alterações internas devem ser submetidas à avaliação do COMPHIC. ",Tombamento Provisório, - 
"02.0011.0031.0125","02.0011.0031.0125.001.001","5511800, 5511900",Imóvel, - ,"Av. Rio Branco, 331","DE nº 39/2024
(anterior provisório DE nº 122/2020)",25/01/2024,Municipal,Of. nº 87/COMPHIC/2020,INTIMAÇÃO Nº 67/COMPHIC/2020,"Tombamento definitivo da fachada frontal composta pelos pavimentos superiores, platibanda e térreo. As formas que compõem a edificação, a ornamentação da fachada principal, os vãos e as esquadrias em madeira são características relevantes que devem ser resguardadas para preservar a edificação, evitando qualquer supressão ou acréscimo de volume, elemento ou equipamento que afete essa feição original. Além disso, avalia-se necessário manter a volumetria do telhado, ",Tombamento Definitivo, - 
"02.0011.0043.0118","02.0011.0043.0118.001.001","5606700,5606600,5606800",Imóvel, - ,"Av. Rio Branco, 475-479",DE nº 123/2020,16/07/2020,Municipal,Of. nº 88/COMPHIC/2020,INTIMAÇÃO Nº 68/COMPHIC/2020,"Tombamento definitivo da fachada frontal composta pelo pavimento superior, platibanda e térreo. As formas que compõem a edificação, a ornamentação da fachada frontal, os vãos e as esquadrias em madeira são características relevantes que devem ser resguardadas para preservar a edificação. Além disso, avalia-se necessário manter a volumetria do telhado,",Tombamento Provisório, - 
"01.0011.0023.0408", - ,"429400-0 (de e geo), 4294100-0, 4294200-0",Imóvel, - ,"Av. Rio Branco, 562","DE nº 31/2024
(anterior provisorio DE nº 171/2020)",25/01/2024,Municipal,Of. nº 147/COMPHIC/2020,INTIMAÇÃO Nº 127/COMPHIC/2020,"Tombamento da fachada frontal composta pelos pavimentos superiores, platibanda e térreo. As formas que compõem a edificação, dentre elas as sacadas, a ornamentação da fachada principal e as esquadrias em madeira, são características relevantes que devem ser preservadas para resguardar a identidade arquitetônica do bem. Além disso, avalia-se necessário manter a volumetria da edificação, respeitando a sua altura, ",Tombamento Definitivo, - 
"02.0011.0045.0386", - ,"5626600, 5626700,5626800,5626900, 56270000",Imóvel, - ,"Av. Rio Branco, 432 - 8",DE nº 174/2020,"05/08/2020",Municipal,Of. nº 141/COMPHIC/2020,INTIMAÇÃO Nº 121/COMPHIC/2020,"Tombamento das fachadas frontal e lateral compostas pelos pavimentos superiores, platibanda e térreo. As formas que compõem a edificação, dentre elas as sacadas e os cobogós, a platibanda e o coroamento com plano suspenso que contorna a edificação e as esquadrias em madeira, são características relevantes que devem ser preservadas para resguardar a identidade arquitetônica do bem. Além disso, avalia-se necessário manter a volumetria da edificação, respeitando a sua altura.",Tombamento Provisório, - 
"02.0011.0031.0140", - ,"5512700, 5512800",Imóvel, - ,"Av. Rio Branco, 341 - 345 - 349",DE nº 175/2020,"05/08/2020",Municipal,Of. nº 140/COMPHIC/2020,INTIMAÇÃO Nº 120/COMPHIC/2020,"Quanto à preservação, justifica-se o tombamento das fachadas frontal e lateral composta pelo pavimento superiores, platibanda e térreo. As formas que compõem a edificação, dentre elas as sacadas, a ornamentação e as esquadrias em madeira, são características relevantes que devem ser preservadas para resguardar a identidade arquitetônica do bem. Além disso, avalia-se necessário manter a volumetria da edificação, respeitando a sua altura.",Tombamento Provisório, - 
"03.0011.0008.0387","03.0011.0008.0387.001.001",74800 e 74500,Imóvel, - ,"Rua do Acampamento, 200",DE n° 197/2019,18/12/2019,Municipal,Of. nº 18/COMPHIC/2020,INTIMAÇÃO Nº 18/COMPHIC/2020,"Tombamento da edificação, preservando, na integralidade, a fachada remanescente em volumetria e modenatura exterior, com a originalidade dos materiais e elementos arquitetônicos ainda presentes, sem qualquer nova supressão ou acréscimo de volume, elemento ou equipamento que afete a feição atual. ",Tombamento Provisório, - 
"03.0011.0029.0055","03.0011.0029.0055.001.001","12295700 (DE-não sei do que que é), 27030 (GEO-LOTE)",Imóvel, - ,"Rua do Acampamento, 713",DE n° 198/2019,18/12/2019,Municipal,Of. nº 30/COMPHIC/2020,INTIMAÇÃO Nº 29/COMPHIC/2020,"Tombamento que preserve a edificação principal remanescente do conjunto em volumetria e modenatura exterior, mantendo a originalidade dos materiais e elementos arquitetônicos ainda presentes. Em relação ao interior, tomba-se o mezanino.",Tombamento Provisório, - 
"02.0011.0067.0329","02.0011.0067.0329.001.001","5780700",Imóvel, - ,"Rua Venâncio Aires, 1706",DE nº 200/2019,18/12/2019,Municipal,Of. Nº 20/COMPHIC/2020,INTIMAÇÃO Nº 20/COMPHIC/2020,"Tomba-se a volumetria da edificação, ou seja, o conjunto das dimensões que determinam o volume da edificação composta por suas fachadas e cobertura, incluindo seu recuo lateral. A preservação deve acrescer ainda todos os elementos de ornamentação das fachadas principais, sua extensão adjacente nas laterais, incluindo as esquadrias em madeira e vãos das mesmas. ",Tombamento Provisório, - 
"02.0011.0064.0516","02.0011.0064.0516.001.001",10203500 (lote geo) /5729200 (DE - vaca profana),Imóvel, - ,"Rua Serafim Valandro, 536",DE nº 02/2020,"07/01/2020",Municipal,Of. nº 55/COMPHIC/2020,INTIMAÇÃO Nº 47/COMPHIC/2020,"Tomba-se a volumetria da edificação, ou seja, o conjunto das dimensões que determinam o volume da edificação composta por suas fachadas e cobertura, incluindo seu recuo lateral. A preservação deve acrescer ainda todos os elementos de ornamentação das fachadas principais, sua extensão adjacente nas laterais, incluindo as esquadrias em madeira e vãos das mesmas. ",Tombamento Provisório, - 
"04.0011.0019.0283","04.0011.0019.0283.001.001","2088800",Imóvel, - ,"Rua Serafim Valandro, 864-868","DE nº 40/2024
(anterior provisório DE nº 32/2020)",25/01/2024,Municipal,Of. Nº 41/COMPHIC/2020,INTIMAÇÃO Nº 33/COMPHIC/2020,"Tomba-se, portanto, a volumetria da residência, que compõe o conjunto, ou seja, o volume da edificação composto por sua fachada principal e cobertura. A preservação deve acrescer, ainda os vãos e todos os elementos remanescentes de ornamentação da fachada.",Tombamento Definitivo, - 
"04.0011.0011.0145","04.0011.0011.0145.001.001","1979000, 1979100, 1979200, 1979300, 12741500, 53021470157319, 53021470157320, 53021470157321, 53021470157322, 53021470157323, 53021470157324",Imóvel, - ,Rua Doutor Bozano. 1094-1100,DE nº 33/2020,27/02/2020,Municipal,Of. nº 42/COMPHIC/2020,INTIMAÇÃO Nº 34/COMPHIC/2020,"Tomba-se, portanto, o volume da edificação composto por sua fachada principal e cobertura. A preservação deve acrescer ainda todos os elementos remanescentes de ornamentação das fachadas e vãos do segundo e terceiro pavimento.",Tombamento Provisório, - 
"02.0011.0045.0374","02.0011.0045.0374.001.001","5626200",Residência Carmen F. Bicca,Residência Carmen F. Bicca,"Av. Rio Branco, 454-460","DE nº 100/2022
(anterior provisório DE nº 35/2020)",23/09/2022,Municipal,Of. nº 44/COMPHIC/2020,INTIMAÇÃO Nº 36/COMPHIC/2020,"A preservação deve considerar a modenatura exterior, com a originalidade dos materiais e elementos arquitetônicos ainda presentes, e prezar pelo cuidado com eventuais publicidades.",Tombamento Definitivo, - 
"03.0011.0005.0259","03.0011.0005.0259.001.001","43000",Imóvel, - ,"Rua Ângelo Uglione, 1495",DE nº 37/2020,27/02/2020,Municipal,Of. nº 46/COMPHIC/2020,INTIMAÇÃO Nº 38/COMPHIC/2020,"Tomba-se a volumetria da edificação, ou seja, o conjunto das dimensões que determinam o volume da edificação composta por suas fachadas e cobertura, incluindo seu recuo de jardim. A preservação deve acrescer ainda todos os elementos de ornamentação e vãos da fachada principal e sua extensão adjacente nas laterais. ",Tombamento Provisório, - 
"03.0011.0005.0273","03.0011.0005.0273.001.001","43100",Imóvel, - ,"Rua Ângelo Uglione, 1509",DE nº 38/2020,27/02/2020,Municipal,Of. nº 47/COMPHIC/2020,INTIMAÇÃO Nº 39/COMPHIC/2020,"Tomba-se, portanto, a volumetria da edificação, ou seja, o conjunto das dimensões que determinam o volume da edificação composta por suas fachadas e cobertura. A preservação deve acrescer ainda todos os elementos de ornamentação da fachada principal e sua extensão adjacente nas laterais, como o gradil que limita o acesso aos fundos.",Tombamento Provisório, - 
"01.0011.0049.0098","01.0011.0049.0098.001.001",4405700 e 4405800,Imóvel, - ,"Rua Ângelo Uglione, 1570",DE nº 39/2020,27/02/2020,Municipal,Of. nº 48/COMPHIC/2020,INTIMAÇÃO Nº 40/COMPHIC/2020,"Seu tombamento em volumetria. A preservação deve considerar a modenatura exterior, com a originalidade dos materiais e elementos arquitetônicos ainda presentes, e prezar pelo cuidado com placas publicitárias e retirada de antenas, condicionadores de ar e outros elementos amorfos. A fachada norte, aos fundos, pode ser alterada, contanto que não interfira na percepção a partir do logradouro.",Tombamento Provisório, - 
"03.0011.0012.0330","03.0011.0012.0330.001.001","115400",Imóvel, - ,"Rua do Acampamento, 396",DE nº 92/2022 (anterior provisório DE nº 39/2020),23/09/2022,Municipal,Of. nº 49/COMPHIC/2020,INTIMAÇÃO Nº 41/COMPHIC/2020,"Tomba-se a volumetria, o que inclui a fachada principal do sobrado, a ornamentação da fachada, vãos do pavimento superior e guarda corpo da sacada, são elementos relevantes que devem ser mantidos para preservar a característica da edificação. O restante do lote, ao fundo, pode receber acréscimos, contanto que não interfira na percepção a partir do logradouro.",Tombamento Definitivo, - 
"02.0011.0041.0061","02.0011.0041.0061.001.001","5593400",Templo da Sinagoga,Prédio do Templo da Sinagoga,"Rua Otávio Binato, 49",LM n° 4615/2002,29/10/2002,Municipal, - , - , - ,Patrimônio Histórico, - 
"03.0011.0012.0302","03.0011.0012.0302.001.001","112800, 112900, 112600 (DE E LOTE GEO), 112700 (DE e EDIFICAÇÃO GEO)",Imóvel, - ,"Rua do Acampamento, 422","DE nº 21/2024
(anterior provisório DE nº 41/2020)",24/01/2024,Municipal,Of. nº 50/COMPHIC/2020,INTIMAÇÃO Nº 42/COMPHIC/2020,"Tomba-se a volumetria e a fachada oeste. A preservação deve considerar a modenatura exterior, com a originalidade dos materiais e elementos arquitetônicos ainda presentes, tais como ornamentos e vãos. Deve-se ainda prezar pelo cuidado com placas publicitárias e retirada de antenas, condicionadores de ar e outros elementos amorfos. ",Tombamento Definitivo, - 
"04.0011.0020.0418","04.0011.0020.0418.001.001","2119000, 2119100, 2119200, 2119500, 2119600, 2119900",Imóvel, - ,"Calçadão Salvador Isaía, 1277-1281",DE nº 36/2020,27/02/2020,Municipal,Of. nº 45/COMPHIC/2020,INTIMAÇÃO Nº 37/COMPHIC/2020,"Preserva-se a fachada Norte (pavimentos superiores e platibanda voltados ao Calçadão Salvador Isaia), buscando a recomposição de vãos no pavimento térreo. A preservação deve considerar a modenatura exterior, com a originalidade dos materiais e elementos arquitetônicos ainda presentes, e prezar pelo cuidado com placas publicitárias e retirada de antenas, condicionadores de ar e outros elementos amorfos. ",Tombamento Provisório, - 
"03.0011.0016.0124","03.0011.0016.0124.001.001","154600",Imóvel, - ,"Rua do Acampamento, 415",DE nº 42/2020,27/02/2020,Municipal,Of. nº 51/COMPHIC/2020,INTIMAÇÃO Nº 43/COMPHIC/2020,"Tombam-se as porções superiores da fachada Leste (2º, 3º pavimentos e platibanda voltados à rua do Acampamento), além da conformação e feição da cobertura. A preservação deve considerar a modenatura exterior, com a originalidade dos materiais, vãos e elementos arquitetônicos ainda presentes. Deve-se ainda prezar pelo cuidado com placas publicitárias e retirada de antenas, condicionadores de ar e outros elementos amorfos.",Tombamento Provisório, - 
"04.0011.0012.0179","04.0011.0012.0179.001.001","1990900 (geo edificação), 1990800 (geo lote), 1991000",Imóvel, - ,"Calçadão Salvador Isaía, 1240 - 1244 - 1246",DE nº 43/2020,27/02/2020,Municipal,Of. nº 52/COMPHIC/2020,INTIMAÇÃO Nº 44/COMPHIC/2020,"Tomba-se a volumetria da edificação, ou seja, o conjunto das dimensões que determinam o volume da edificação composta por sua fachada principal. A preservação deve acrescer ainda todos os elementos de ornamentação da fachada principal, incluindo os vãos do pavimento superior. Sugere-se ainda a recomposição dos vãos do pavimento térreo.",Tombamento Provisório, - 
"04.0011.0013.0177","04.0011.0013.0177.001.001","2023900",Imóvel, - ,"Coronel Niederauer, 748",DE nº 111/2020,16/07/2020,Municipal, - , - , - ,Tombamento Provisório, - 
"03.0011.0014.0334","03.0011.0014.0334.001.001","132100",Imóvel, - ,"Av. Nossa Senhora das Dores, 8","DE nº 24/2024
(anterior provisório DE nº 112/2020)",24/01/2024,Municipal,Of. nº 74/COMPHIC/2020,INTIMAÇÃO Nº 54/COMPHIC/2020,"Tombando-se a fachada principal e as laterais, incluídos vãos e aberturas, além da volumetria da cobertura, ambos do prédio principal - frontal.",Tombamento Definitivo, - 
"02.0011.0022.0039", - ,"5463700, 5463600, 54639000",Imóvel,Samara Hotel,"Av. Rio Branco, 135-145",DE nº 105/2022 (anterior provisório DE nº 113/2020),23/09/2022,Municipal,Of. nº 76/COMPHIC/2020,INTIMAÇÃO Nº 56/COMPHIC/2020,"Volume e fachada principal. Ficam, portanto, por este, preservadas suas proporções volumétricas - no que se inclui a feição da cobertura, característica dos hotéis da época e em escala com entorno histórico - e os vãos, elementos e ornamentação da fachada principal.",Tombamento Definitivo, - 
